,alpha,beta,gamma,tau,scf_bc,nn_scf_bc
122,40,0.5,20,0.4,1.957275654,1.9533125
123,22,0.5,20,0.4,1.957144094,1.9507337
124,22,0.5,26,0.2,1.956408193,1.8509713
125,4,0.2,26,0.6,1.953276223,1.9392726
126,22,0.4,26,0.2,1.952509903,1.9621128
127,22,0.3,26,0.8,1.949779824,1.940676
128,40,0.3,26,0.8,1.949714324,1.9560525
129,22,0.2,26,0.6,1.947234516,1.9524981
130,40,0.2,26,0.6,1.947205127,1.9587053
131,22,0.5,32,0.8,1.944676437,1.9177607
132,40,0.5,32,0.8,1.943754828,1.9240552
133,4,0.4,20,0.6,1.942960347,1.9387342
134,22,0.6,32,0.6,1.939417756,1.9747207
135,40,0.6,32,0.6,1.93821511,1.9830347
136,4,0.3,32,1,1.935430902,1.915756
137,4,0.5,20,0.6,1.933564553,1.9097272
138,22,0.6,26,0.4,1.919192967,1.9431293
139,40,0.6,26,0.4,1.919041492,1.9422705
140,4,0.7,20,0.6,1.918264054,1.875266
141,40,0.4,20,0.6,1.913403118,1.9256897
142,22,0.4,20,0.6,1.913373175,1.9210893
143,4,0.4,32,1,1.90432283,1.8577013
144,4,0.7,14,0.2,1.903879674,1.8637701
145,22,0.6,32,0.2,1.896988928,1.8468924
146,40,0.3,32,1,1.896891481,1.8801988
147,40,0.6,32,0.2,1.89686763,1.8325709
148,22,0.3,32,1,1.896804924,1.8844295
149,22,0.2,14,0.2,1.89504748,1.935004
150,40,0.2,14,0.2,1.895033796,1.9131855
151,40,0.2,20,0.2,1.894218015,2.1047754
152,4,0.2,14,0.2,1.891290936,1.8885261
153,4,0.5,14,0.2,1.890208334,1.8417426
154,4,0.6,20,0.6,1.885836318,1.8814608
155,40,0.4,32,0.2,1.878656933,1.9447372
156,4,0.6,26,0.8,1.871545443,1.8697323
157,4,0.3,20,0.6,1.8695054,1.8408383
158,4,0.4,14,0.2,1.868158556,1.8369393
159,22,0.3,20,0.6,1.85920037,1.8508115
160,40,0.3,20,0.6,1.859192357,1.8667113
161,22,0.6,26,0.6,1.859105353,1.8611314
162,40,0.5,20,0.2,1.859048289,1.8221562
163,40,0.6,26,0.6,1.858876846,1.8672318
164,40,0.4,14,0.2,1.855866565,1.8269131
165,22,0.4,14,0.2,1.855803035,1.8233507
166,4,0.7,32,1,1.854083852,1.7675425
167,22,0.7,32,0.6,1.852234755,1.8451457
168,40,0.5,20,0.6,1.851273873,1.8537412
169,22,0.7,26,0.4,1.851126387,1.8493955
170,22,0.5,20,0.6,1.851102605,1.8491408
171,40,0.7,26,0.4,1.850883938,1.8464886
172,40,0.7,32,0.6,1.850213169,1.8506409
173,4,0.6,14,0.2,1.841939333,1.8115095
174,22,0.5,26,0.8,1.840528776,1.8342135
